CUST_NO,AGE,CHILDREN_CNT,CUST_START_DT,EDU_CODE,GENDER_CODE,INCOME_RANGE_CODE,WORK_MTHS,CreditCard_b,ForEx_b,Trust_b,Loan_b,cc_BuyFreq,fx_BuyFreq,ln_BuyFreq,wm_BuyFreq
B5UYIIMFNSISE-OK,4.0,0.0,4065.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EH6C2CCKXRBY4LZY,4.0,0.0,8618.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_KGNHONXVGE6MIGC,4.0,0.0,2952.0,4.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0
ZKHYQUASS57AI180,4.0,2.0,7510.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EM5JRIMT0GQL4SDI,4.0,0.0,7765.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
5FN19ITEQ5YG36E0,4.0,0.0,5059.0,3.0,0.0,2.0,2.0,4.0,902.0,0.0,1.0,0.0,4.0,0.0,2.0
WZ4AZ9J_6OR1PRL8,4.0,0.0,6404.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFWGLZHPVQZ-K2DG,4.0,0.0,2729.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
G_KDRCQKPKQLQ9DW,4.0,0.0,918.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
ILZ4G853HENJFR0O,4.0,0.0,7075.0,3.0,1.0,3.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D268CY1IEIMB3P-O,4.0,0.0,8070.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAPMLFDAJ5RKUXBG,4.0,0.0,3302.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LXSMJM-HPH6YJLLY,4.0,0.0,6175.0,2.0,0.0,1.0,1.0,42.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
XBQXC8ZH6VOTMXXO,1.0,0.0,9287.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALFKZUMSA7CG5YKI,1.0,0.0,8419.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
VIUAABYJUS54EDNY,1.0,0.0,9064.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-Z8NTKKDZTPTJQTS,4.0,0.0,4944.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZUQERBDU3X-RBPG4,2.0,0.0,9044.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T3D6AJE_Z3_VNMJO,4.0,0.0,3544.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWQAL8ATLNPQUWMC,1.0,0.0,9233.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UD7QSPPRPYOMDEA8,3.0,0.0,8406.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
XBHQB7CY3KGUVUMW,2.0,0.0,5451.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42CVIDAPHT65XQ5I,4.0,0.0,7241.0,5.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJHZ_QSOO98_31GO,1.0,0.0,6820.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GIG103MGJDHPK_VQ,4.0,0.0,2899.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1DKYDHXS6YO9G26G,1.0,0.0,6915.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W1HH1B1JFV9E6A2M,2.0,0.0,7980.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VVVRUESRF1_DBTMI,4.0,0.0,2956.0,3.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HXD9GCY3SPIYLJS0,4.0,0.0,2982.0,3.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LLPNKJCJBML7GO0I,4.0,0.0,3961.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8EJH1UABSL_G8KIY,3.0,0.0,8188.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
AQTU35ZQTUYFPF0S,2.0,0.0,7793.0,3.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
LWYLGOLJRPEUGXB8,4.0,0.0,6799.0,4.0,1.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XUIXI4CZ6X4PZIOK,4.0,0.0,9128.0,4.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0
U9PMKQCDMCFW2TO0,1.0,0.0,8699.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3FRLXSGRCMDXBWD8,4.0,0.0,8993.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
VQM6PSS7PZ1NOJL8,4.0,0.0,5255.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LQF2IJXXRZOKGMNU,4.0,0.0,1120.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TB33M-UNJQ83ITZI,4.0,0.0,4683.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRRNNOHU_J7J7YWM,4.0,0.0,5419.0,2.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
TND-NVO2JCKZ80_C,4.0,0.0,1057.0,3.0,0.0,4.0,1.0,6.0,25.0,0.0,1.0,5.0,2.0,0.0,0.0
XVGGIFKEN698VRKY,4.0,0.0,6148.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE2KCF_0KDO-CAZC,4.0,0.0,3331.0,3.0,1.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2UHC48THLFJIOQNC,4.0,0.0,4555.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
KZL2-XH-V2MMVCAS,4.0,0.0,3044.0,5.0,1.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0
DXTWA_QFZS-2AF-E,4.0,0.0,509.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N1RNIKFF2HPGIN4O,4.0,0.0,8582.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISLR1PZGVEIUL-FS,4.0,0.0,7996.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG4VESJA5FIGWS6S,4.0,0.0,7429.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1Q9IMDOERMKBOBK,4.0,0.0,2378.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JDTWARAUVUSM0W7W,4.0,1.0,770.0,3.0,1.0,1.0,2.0,0.0,147.0,0.0,3.0,0.0,5.0,0.0,3.0
ZMHRNJADDUVTC8TU,4.0,0.0,9525.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
OBJUD5W0RUO0E9IE,1.0,0.0,8511.0,5.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
XL2GEMGCS544-DGK,1.0,0.0,8801.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0
QLG1C3MKGBMEAJCA,2.0,0.0,5040.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNZIT9YCKQWMXDOA,1.0,0.0,5979.0,3.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QEH5UFTIIXSORABG,1.0,0.0,6831.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5VBDMOU0HTDYQ-K,1.0,0.0,2180.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNNSFZA2Y9EZRASO,1.0,0.0,5931.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JHOZI04F64BV0O-S,1.0,0.0,6049.0,3.0,1.0,1.0,1.0,0.0,17.0,0.0,1.0,0.0,79.0,0.0,0.0
BGJILW_8JTJEKGBG,1.0,0.0,5794.0,3.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
BMTHHSYEKLBT0TE8,2.0,0.0,8909.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
